ngrams,class
"BlockStatement ReturnStatement AssignmentExpression Identifier
",1
"IfStatement ExpressionStatement AssignmentExpression BinaryExpression
",1
"VariableDeclarator NewExpression BinaryExpression BinaryExpression
",1
"ForInStatement Identifier Program FunctionDeclaration
",1
"IfStatement BinaryExpression BinaryExpression Identifier
",1
"VariableDeclarator MemberExpression MemberExpression CallExpression
",1
"MemberExpression CallExpression BinaryExpression MemberExpression
",1
"BlockStatement ReturnStatement Program FunctionDeclaration
",1
"AssignmentExpression BinaryExpression UnaryExpression Literal
",1
"ExpressionStatement CallExpression ObjectExpression Program
",1
"ObjectExpression Program FunctionDeclaration BlockStatement
",1
"VariableDeclarator CallExpression BinaryExpression MemberExpression
",1
"ExpressionStatement AssignmentExpression BinaryExpression UnaryExpression
",1
"BlockStatement IfStatement ReturnStatement Identifier
",1
"IfStatement BlockStatement ForInStatement Identifier
",1
"BlockStatement ForInStatement BlockStatement VariableDeclaration
",1
"VariableDeclaration VariableDeclarator LogicalExpression LogicalExpression
",1
"LogicalExpression LogicalExpression LogicalExpression LogicalExpression
",1
"LogicalExpression LogicalExpression LogicalExpression MemberExpression
",1
"VariableDeclarator LogicalExpression LogicalExpression LogicalExpression
",1
"VariableDeclarator LogicalExpression LogicalExpression MemberExpression
",1
"VariableDeclaration VariableDeclarator AssignmentExpression MemberExpression
",1
"VariableDeclaration VariableDeclarator AssignmentExpression FunctionExpression
",1
"BlockStatement VariableDeclaration VariableDeclarator AssignmentExpression
",1
"VariableDeclarator AssignmentExpression FunctionExpression BlockStatement
",1
"ConditionalExpression BinaryExpression UnaryExpression Literal
",1
"AssignmentExpression ConditionalExpression FunctionExpression Identifier
",1
"ExpressionStatement AssignmentExpression ConditionalExpression FunctionExpression
",1
"ConditionalExpression FunctionExpression BlockStatement ReturnStatement
",1
"AssignmentExpression ConditionalExpression FunctionExpression BlockStatement
",1
"ExpressionStatement AssignmentExpression LogicalExpression ArrayExpression
",1
"LogicalExpression ArrayExpression Literal Program
",1
"AssignmentExpression LogicalExpression ArrayExpression Literal
",1
"AssignmentExpression AssignmentExpression MemberExpression Identifier
",1
"ExpressionStatement AssignmentExpression AssignmentExpression AssignmentExpression
",1
"AssignmentExpression AssignmentExpression MemberExpression ThisExpression
",1
"AssignmentExpression AssignmentExpression AssignmentExpression MemberExpression
",1
"AssignmentExpression AssignmentExpression AssignmentExpression AssignmentExpression
",1
"AssignmentExpression AssignmentExpression AssignmentExpression Literal
",1
"BinaryExpression BinaryExpression UnaryExpression MemberExpression
",1
"AssignmentExpression BinaryExpression BinaryExpression UnaryExpression
",1
"ExpressionStatement CallExpression LogicalExpression MemberExpression
",1
"CallExpression LogicalExpression Literal Program
",1
"CallExpression CallExpression UnaryExpression Literal
",1
"FunctionExpression BlockStatement ReturnStatement ThisExpression
",1
"ReturnStatement ThisExpression Program ExpressionStatement
",1
"VariableDeclarator ObjectExpression Property BinaryExpression
",1
"Property BinaryExpression BinaryExpression Literal
",1
"Property BinaryExpression BinaryExpression MemberExpression
",1
"ObjectExpression Property BinaryExpression BinaryExpression
",1
"Property BinaryExpression Literal Program
",1
"ObjectExpression Property BinaryExpression MemberExpression
",1
"ObjectExpression Property BinaryExpression Literal
",1
"Property BinaryExpression MemberExpression ThisExpression
",1
"Property BinaryExpression MemberExpression Identifier
",1
"FunctionExpression BlockStatement ForInStatement ExpressionStatement
",1
"ForInStatement ExpressionStatement AssignmentExpression MemberExpression
",1
"BlockStatement ForInStatement ExpressionStatement AssignmentExpression
",1
"BlockStatement ExpressionStatement LogicalExpression BinaryExpression
",1
"LogicalExpression BinaryExpression UnaryExpression Literal
",1
"ExpressionStatement LogicalExpression AssignmentExpression Identifier
",1
"BlockStatement ExpressionStatement LogicalExpression AssignmentExpression
",1
"LogicalExpression AssignmentExpression MemberExpression ThisExpression
",1
"LogicalExpression AssignmentExpression MemberExpression Identifier
",1
"ReturnStatement ConditionalExpression BinaryExpression Literal
",1
"ConditionalExpression BinaryExpression UnaryExpression MemberExpression
",1
"ReturnStatement ConditionalExpression BinaryExpression UnaryExpression
",1
"ConditionalExpression CallExpression MemberExpression MemberExpression
",1
"ReturnStatement ConditionalExpression CallExpression MemberExpression
",1
"ConditionalExpression CallExpression ThisExpression Program
",1
"ReturnStatement ConditionalExpression CallExpression Identifier
",1
"MemberExpression CallExpression MemberExpression ThisExpression
",1
"MemberExpression CallExpression UnaryExpression Literal
",1
"BlockStatement ExpressionStatement CallExpression UnaryExpression
",1
"BinaryExpression BinaryExpression MemberExpression ThisExpression
",1
"ConditionalExpression BinaryExpression BinaryExpression MemberExpression
",1
"VariableDeclarator ConditionalExpression BinaryExpression MemberExpression
",1
"ReturnStatement CallExpression MemberExpression ArrayExpression
",1
"MemberExpression ArrayExpression BinaryExpression MemberExpression
",1
"MemberExpression ArrayExpression BinaryExpression BinaryExpression
",1
"CallExpression MemberExpression ArrayExpression BinaryExpression
",1
"ArrayExpression BinaryExpression BinaryExpression MemberExpression
",1
"MemberExpression ArrayExpression MemberExpression ThisExpression
",1
"CallExpression MemberExpression ArrayExpression MemberExpression
",1
"ArrayExpression BinaryExpression BinaryExpression CallExpression
",1
"MemberExpression ArrayExpression ConditionalExpression Identifier
",1
"CallExpression MemberExpression ArrayExpression ConditionalExpression
",1
"ArrayExpression ConditionalExpression Literal Program
",1
"MemberExpression ArrayExpression ConditionalExpression Literal
",1
"BinaryExpression CallExpression BinaryExpression Literal
",1
"BinaryExpression CallExpression BinaryExpression Identifier
",1
"AssignmentExpression CallExpression MemberExpression BinaryExpression
",1
"ExpressionStatement LogicalExpression BinaryExpression MemberExpression
",1
"ExpressionStatement LogicalExpression AssignmentExpression BinaryExpression
",1
"BlockStatement ReturnStatement CallExpression UnaryExpression
",1
"ReturnStatement BinaryExpression BinaryExpression Literal
",1
"ReturnStatement BinaryExpression BinaryExpression Identifier
",1
"IfStatement ReturnStatement SequenceExpression CallExpression
",1
"SequenceExpression CallExpression MemberExpression ThisExpression
",1
"BlockStatement IfStatement ReturnStatement SequenceExpression
",1
"SequenceExpression CallExpression CallExpression MemberExpression
",1
"IfStatement ReturnStatement SequenceExpression ThisExpression
",1
"SequenceExpression ThisExpression Program ExpressionStatement
",1
"IfStatement LogicalExpression CallExpression Identifier
",1
"ExpressionStatement LogicalExpression BinaryExpression UnaryExpression
",1
"ExpressionStatement LogicalExpression BinaryExpression Identifier
",1
"ExpressionStatement LogicalExpression AssignmentExpression MemberExpression
",1
"AssignmentExpression CallExpression BinaryExpression CallExpression
",1
"IfStatement LogicalExpression LogicalExpression Identifier
",1
"IfStatement ExpressionStatement CallExpression FunctionExpression
",1
"BlockStatement ExpressionStatement ConditionalExpression BinaryExpression
",1
"IfStatement BlockStatement ExpressionStatement ConditionalExpression
",1
"ExpressionStatement ConditionalExpression BinaryExpression Identifier
",1
"BlockStatement ExpressionStatement ConditionalExpression CallExpression
",1
"ExpressionStatement ConditionalExpression CallExpression Identifier
",1
"ExpressionStatement ConditionalExpression CallExpression FunctionExpression
",1
"ConditionalExpression CallExpression FunctionExpression BlockStatement
",1
"ConditionalExpression CallExpression BinaryExpression Identifier
",1
"BlockStatement ExpressionStatement Literal Program
",1
"ExpressionStatement CallExpression LogicalExpression Identifier
",1
"CallExpression LogicalExpression AssignmentExpression MemberExpression
",1
"ExpressionStatement CallExpression LogicalExpression AssignmentExpression
",1
"CallExpression LogicalExpression AssignmentExpression FunctionExpression
",1
"LogicalExpression AssignmentExpression FunctionExpression BlockStatement
",1
"Program ExpressionStatement AssignmentExpression BinaryExpression
",1
"AssignmentExpression BinaryExpression CallExpression Literal
",1
"Program ExpressionStatement AssignmentExpression LogicalExpression
",1
"LogicalExpression CallExpression MemberExpression Literal
",1
"FunctionExpression BlockStatement SwitchStatement CallExpression
",1
"SwitchStatement CallExpression MemberExpression MemberExpression
",1
"SwitchStatement CallExpression MemberExpression Identifier
",1
"SwitchCase Literal Program ExpressionStatement
",1
"SwitchCase IfStatement MemberExpression Identifier
",1
"BreakStatement Program ExpressionStatement AssignmentExpression
",1
"IfStatement LogicalExpression LogicalExpression MemberExpression
",1
"SwitchCase IfStatement LogicalExpression LogicalExpression
",1
"SwitchCase IfStatement LogicalExpression MemberExpression
",1
"ReturnStatement CallExpression MemberExpression Literal
",1
"FunctionExpression BlockStatement ExpressionStatement Literal
",1
"ExpressionStatement Literal Program ExpressionStatement
",1
"BlockStatement SwitchStatement CallExpression MemberExpression
",1
"BlockStatement SwitchStatement SwitchCase SwitchStatement
",1
"SwitchCase SwitchStatement MemberExpression Identifier
",1
"SwitchCase SwitchStatement SwitchCase Literal
",1
"SwitchCase SwitchStatement SwitchCase ReturnStatement
",1
"SwitchStatement SwitchCase ReturnStatement LogicalExpression
",1
"ReturnStatement LogicalExpression UnaryExpression MemberExpression
",1
"IfStatement BlockStatement DoWhileStatement BlockStatement
",1
"DoWhileStatement BlockStatement IfStatement BinaryExpression
",1
"BlockStatement IfStatement BlockStatement DoWhileStatement
",1
"BlockStatement DoWhileStatement BlockStatement IfStatement
",1
"DoWhileStatement BlockStatement IfStatement BlockStatement
",1
"DoWhileStatement BlockStatement ExpressionStatement AssignmentExpression
",1
"BlockStatement DoWhileStatement BlockStatement ExpressionStatement
",1
"IfStatement BlockStatement DoWhileStatement Identifier
",1
"DoWhileStatement Identifier Program ExpressionStatement
",1
"VariableDeclaration VariableDeclarator MemberExpression Literal
",1
"LogicalExpression BinaryExpression CallExpression BinaryExpression
",1
"BinaryExpression CallExpression BinaryExpression MemberExpression
",1
"IfStatement UnaryExpression MemberExpression ThisExpression
",1
"LogicalExpression CallExpression BinaryExpression MemberExpression
",1
"IfStatement CallExpression MemberExpression ThisExpression
",1
"LogicalExpression BinaryExpression BinaryExpression MemberExpression
",1
"LogicalExpression BinaryExpression BinaryExpression Identifier
",1
"LogicalExpression LogicalExpression MemberExpression ThisExpression
",1
"LogicalExpression BinaryExpression CallExpression Literal
",1
"Program IfStatement LogicalExpression MemberExpression
",1
"ReturnStatement Identifier Program IfStatement
",1
"Program IfStatement IfStatement LogicalExpression
",1
"Identifier Program IfStatement IfStatement
",1
"Literal Program IfStatement IfStatement
",1
"Program IfStatement IfStatement BlockStatement
",1
"VariableDeclaration VariableDeclarator AssignmentExpression ObjectExpression
",1
"FunctionDeclaration BlockStatement ReturnStatement SequenceExpression
",1
"ReturnStatement SequenceExpression CallExpression CallExpression
",1
"SequenceExpression CallExpression CallExpression Identifier
",1
"SequenceExpression CallExpression FunctionExpression Identifier
",1
"ExpressionStatement AssignmentExpression ConditionalExpression ConditionalExpression
",1
"AssignmentExpression ConditionalExpression ConditionalExpression BinaryExpression
",1
"ConditionalExpression ConditionalExpression UnaryExpression Literal
",1
"AssignmentExpression ConditionalExpression ConditionalExpression ConditionalExpression
",1
"ConditionalExpression ConditionalExpression BinaryExpression Literal
",1
"ConditionalExpression ConditionalExpression Literal Program
",1
"ConditionalExpression ConditionalExpression ConditionalExpression ConditionalExpression
",1
"ConditionalExpression ConditionalExpression BinaryExpression BinaryExpression
",1
"BinaryExpression BinaryExpression UnaryExpression Identifier
",1
"ConditionalExpression ConditionalExpression ConditionalExpression BinaryExpression
",1
"ConditionalExpression ConditionalExpression UnaryExpression Identifier
",1
"ConditionalExpression ConditionalExpression CallExpression MemberExpression
",1
"ConditionalExpression ConditionalExpression ConditionalExpression CallExpression
",1
"ConditionalExpression ConditionalExpression CallExpression Identifier
",1
"ConditionalExpression ConditionalExpression Identifier Program
",1
"TryStatement CatchClause BlockStatement Program
",1
"BlockStatement IfStatement ContinueStatement Program
",1
"ForInStatement BlockStatement IfStatement ReturnStatement
",1
"IfStatement ReturnStatement UnaryExpression Literal
",1
"FunctionDeclaration BlockStatement ReturnStatement UnaryExpression
",1
"ReturnStatement UnaryExpression Literal Program
",1
"BlockStatement ReturnStatement LogicalExpression LogicalExpression
",1
"LogicalExpression LogicalExpression UnaryExpression MemberExpression
",1
"ReturnStatement LogicalExpression LogicalExpression UnaryExpression
",1
"BlockStatement ReturnStatement LogicalExpression BinaryExpression
",1
"ReturnStatement LogicalExpression BinaryExpression MemberExpression
",1
"BlockStatement FunctionDeclaration BlockStatement DoWhileStatement
",1
"BlockStatement DoWhileStatement ExpressionStatement AssignmentExpression
",1
"FunctionDeclaration BlockStatement DoWhileStatement ExpressionStatement
",1
"DoWhileStatement ExpressionStatement AssignmentExpression MemberExpression
",1
"FunctionDeclaration BlockStatement DoWhileStatement LogicalExpression
",1
"DoWhileStatement LogicalExpression Identifier Program
",1
"DoWhileStatement LogicalExpression BinaryExpression MemberExpression
",1
"DoWhileStatement LogicalExpression BinaryExpression Literal
",1
"ReturnStatement CallExpression FunctionExpression Identifier
",1
"ReturnStatement CallExpression FunctionExpression BlockStatement
",1
"IfStatement ReturnStatement CallExpression FunctionExpression
",1
"VariableDeclarator UnaryExpression UnaryExpression CallExpression
",1
"UnaryExpression UnaryExpression CallExpression MemberExpression
",1
"IfStatement BlockStatement IfStatement ReturnStatement
",1
"ReturnStatement CallExpression UnaryExpression Identifier
",1
"BlockStatement ReturnStatement CallExpression FunctionExpression
",1
"ReturnStatement BinaryExpression BinaryExpression CallExpression
",1
"BlockStatement IfStatement WhileStatement MemberExpression
",1
"FunctionDeclaration BlockStatement IfStatement WhileStatement
",1
"IfStatement WhileStatement MemberExpression Identifier
",1
"BlockStatement IfStatement WhileStatement ExpressionStatement
",1
"WhileStatement ExpressionStatement CallExpression MemberExpression
",1
"IfStatement WhileStatement ExpressionStatement CallExpression
",1
"WhileStatement ExpressionStatement CallExpression CallExpression
",1
"LogicalExpression MemberExpression CallExpression MemberExpression
",1
"ReturnStatement LogicalExpression MemberExpression CallExpression
",1
"LogicalExpression MemberExpression CallExpression Identifier
",1
"LogicalExpression MemberExpression Literal Program
",1
"ReturnStatement LogicalExpression CallExpression MemberExpression
",1
"ReturnStatement LogicalExpression CallExpression CallExpression
",1
"LogicalExpression CallExpression CallExpression Identifier
",1
"IfStatement BlockStatement ExpressionStatement SequenceExpression
",1
"ExpressionStatement SequenceExpression UnaryExpression MemberExpression
",1
"ExpressionStatement SequenceExpression AssignmentExpression ObjectExpression
",1
"BlockStatement ForInStatement ForStatement SequenceExpression
",1
"ForStatement SequenceExpression AssignmentExpression Identifier
",1
"IfStatement BlockStatement ForInStatement ForStatement
",1
"ForInStatement ForStatement BinaryExpression Identifier
",1
"BlockStatement ForInStatement ForStatement BinaryExpression
",1
"ForInStatement ForStatement UpdateExpression Identifier
",1
"BlockStatement ForInStatement ForStatement ExpressionStatement
",1
"ForStatement ExpressionStatement CallExpression MemberExpression
",1
"ForInStatement ForStatement ExpressionStatement CallExpression
",1
"LogicalExpression AssignmentExpression CallExpression MemberExpression
",1
"ExpressionStatement LogicalExpression AssignmentExpression CallExpression
",1
"LogicalExpression AssignmentExpression CallExpression ObjectExpression
",1
"CallExpression ObjectExpression Program ExpressionStatement
",1
"SequenceExpression LogicalExpression CallExpression MemberExpression
",1
"FunctionDeclaration BlockStatement ExpressionStatement SequenceExpression
",1
"ExpressionStatement SequenceExpression LogicalExpression CallExpression
",1
"SequenceExpression LogicalExpression CallExpression Identifier
",1
"ExpressionStatement SequenceExpression AssignmentExpression CallExpression
",1
"BlockStatement ExpressionStatement SequenceExpression ConditionalExpression
",1
"SequenceExpression ConditionalExpression BinaryExpression Identifier
",1
"SequenceExpression ConditionalExpression BinaryExpression Literal
",1
"SequenceExpression ConditionalExpression SequenceExpression LogicalExpression
",1
"SequenceExpression LogicalExpression AssignmentExpression MemberExpression
",1
"ExpressionStatement SequenceExpression ConditionalExpression SequenceExpression
",1
"ConditionalExpression SequenceExpression LogicalExpression AssignmentExpression
",1
"LogicalExpression LogicalExpression MemberExpression MemberExpression
",1
"ConditionalExpression SequenceExpression LogicalExpression LogicalExpression
",1
"SequenceExpression LogicalExpression LogicalExpression UnaryExpression
",1
"SequenceExpression ConditionalExpression ConditionalExpression LogicalExpression
",1
"ConditionalExpression LogicalExpression CallExpression MemberExpression
",1
"ExpressionStatement SequenceExpression ConditionalExpression ConditionalExpression
",1
"ConditionalExpression ConditionalExpression LogicalExpression CallExpression
",1
"SequenceExpression ConditionalExpression ConditionalExpression SequenceExpression
",1
"ConditionalExpression SequenceExpression AssignmentExpression MemberExpression
",1
"ConditionalExpression ConditionalExpression SequenceExpression AssignmentExpression
",1
"ConditionalExpression SequenceExpression AssignmentExpression AssignmentExpression
",1
"ConditionalExpression SequenceExpression LogicalExpression BinaryExpression
",1
"SequenceExpression ConditionalExpression ConditionalExpression ConditionalExpression
",1
"ConditionalExpression ConditionalExpression AssignmentExpression MemberExpression
",1
"ConditionalExpression ConditionalExpression ConditionalExpression AssignmentExpression
",1
"ConditionalExpression AssignmentExpression MemberExpression Identifier
",1
"ConditionalExpression ConditionalExpression ConditionalExpression LogicalExpression
",1
"ConditionalExpression LogicalExpression LogicalExpression BinaryExpression
",1
"ConditionalExpression ConditionalExpression LogicalExpression LogicalExpression
",1
"ConditionalExpression LogicalExpression AssignmentExpression MemberExpression
",1
"ConditionalExpression ConditionalExpression LogicalExpression AssignmentExpression
",1
"ReturnStatement ConditionalExpression CallExpression Literal
",1
"BlockStatement ReturnStatement ConditionalExpression ConditionalExpression
",1
"ConditionalExpression ConditionalExpression BinaryExpression UnaryExpression
",1
"ReturnStatement ConditionalExpression ConditionalExpression CallExpression
",1
"ConditionalExpression ConditionalExpression CallExpression Literal
",1
"ConditionalExpression ConditionalExpression ArrayExpression Program
",1
"FunctionDeclaration BlockStatement WhileStatement UpdateExpression
",1
"WhileStatement UpdateExpression Identifier Program
",1
"ReturnStatement SequenceExpression AssignmentExpression LogicalExpression
",1
"ReturnStatement SequenceExpression LogicalExpression BinaryExpression
",1
"SequenceExpression LogicalExpression BinaryExpression CallExpression
",1
"ForStatement BlockStatement IfStatement UnaryExpression
",1
"ForStatement BlockStatement IfStatement ContinueStatement
",1
"IfStatement ContinueStatement Program ExpressionStatement
",1
"ForStatement BlockStatement ExpressionStatement SequenceExpression
",1
"SequenceExpression AssignmentExpression CallExpression Literal
",1
"SequenceExpression ConditionalExpression Identifier Program
",1
"LogicalExpression AssignmentExpression Literal Program
",1
"SequenceExpression LogicalExpression LogicalExpression CallExpression
",1
"LogicalExpression LogicalExpression CallExpression Identifier
",1
"SequenceExpression LogicalExpression AssignmentExpression CallExpression
",1
"LogicalExpression AssignmentExpression CallExpression Literal
",1
"LogicalExpression AssignmentExpression CallExpression CallExpression
",1
"SequenceExpression ConditionalExpression SequenceExpression AssignmentExpression
",1
"ConditionalExpression SequenceExpression AssignmentExpression CallExpression
",1
"ConditionalExpression SequenceExpression LogicalExpression CallExpression
",1
"LogicalExpression CallExpression Literal Program
",1
"ConditionalExpression LogicalExpression Literal Program
",1
"IfStatement ExpressionStatement AssignmentExpression ConditionalExpression
",1
"ReturnStatement ConditionalExpression BinaryExpression CallExpression
",1
"ConditionalExpression BinaryExpression CallExpression MemberExpression
",1
"BinaryExpression CallExpression BinaryExpression LogicalExpression
",1
"BinaryExpression LogicalExpression Identifier Program
",1
"ReturnStatement ConditionalExpression BinaryExpression LogicalExpression
",1
"ConditionalExpression BinaryExpression LogicalExpression MemberExpression
",1
"VariableDeclarator ConditionalExpression BinaryExpression ConditionalExpression
",1
"BinaryExpression ConditionalExpression Identifier Program
",1
"ConditionalExpression BinaryExpression ConditionalExpression Literal
",1
"BinaryExpression ConditionalExpression Literal Program
",1
"VariableDeclarator ConditionalExpression ConditionalExpression BinaryExpression
",1
"VariableDeclaration VariableDeclarator ConditionalExpression ConditionalExpression
",1
"VariableDeclarator ConditionalExpression ConditionalExpression Literal
",1
"BlockStatement ForStatement ExpressionStatement SequenceExpression
",1
"ExpressionStatement SequenceExpression LogicalExpression BinaryExpression
",1
"FunctionDeclaration BlockStatement ForStatement ExpressionStatement
",1
"ForStatement ExpressionStatement SequenceExpression LogicalExpression
",1
"SequenceExpression LogicalExpression BinaryExpression Literal
",1
"ExpressionStatement SequenceExpression LogicalExpression AssignmentExpression
",1
"LogicalExpression AssignmentExpression CallExpression BinaryExpression
",1
"LogicalExpression AssignmentExpression CallExpression UnaryExpression
",1
"ForStatement ExpressionStatement SequenceExpression ConditionalExpression
",1
"SequenceExpression LogicalExpression BinaryExpression Identifier
",1
"LogicalExpression AssignmentExpression LogicalExpression CallExpression
",1
"SequenceExpression LogicalExpression AssignmentExpression LogicalExpression
",1
"AssignmentExpression LogicalExpression CallExpression CallExpression
",1
"LogicalExpression CallExpression CallExpression BinaryExpression
",1
"LogicalExpression AssignmentExpression LogicalExpression Literal
",1
"AssignmentExpression LogicalExpression CallExpression Identifier
",1
"SequenceExpression AssignmentExpression LogicalExpression CallExpression
",1
"ConditionalExpression SequenceExpression AssignmentExpression LogicalExpression
",1
"SequenceExpression AssignmentExpression LogicalExpression Literal
",1
"VariableDeclarator LogicalExpression MemberExpression MemberExpression
",1
"VariableDeclaration VariableDeclarator LogicalExpression BinaryExpression
",1
"VariableDeclarator LogicalExpression BinaryExpression CallExpression
",1
"IfStatement ReturnStatement Identifier Program
",1
"SequenceExpression AssignmentExpression LogicalExpression Identifier
",1
"SequenceExpression AssignmentExpression LogicalExpression LogicalExpression
",1
"ExpressionStatement SequenceExpression AssignmentExpression LogicalExpression
",1
"AssignmentExpression LogicalExpression LogicalExpression MemberExpression
",1
"CallExpression LogicalExpression ConditionalExpression Identifier
",1
"CallExpression LogicalExpression ConditionalExpression Literal
",1
"BlockStatement IfStatement ReturnStatement MemberExpression
",1
"IfStatement ReturnStatement MemberExpression Identifier
",1
"CallExpression MemberExpression CallExpression BinaryExpression
",1
"MemberExpression CallExpression BinaryExpression BinaryExpression
",1
"AssignmentExpression CallExpression LogicalExpression Identifier
",1
"AssignmentExpression CallExpression LogicalExpression CallExpression
",1
"LogicalExpression CallExpression CallExpression MemberExpression
",1
"CallExpression LogicalExpression CallExpression CallExpression
",1
"LogicalExpression CallExpression CallExpression Literal
",1
"LogicalExpression CallExpression ObjectExpression Property
",1
"CallExpression LogicalExpression CallExpression ObjectExpression
",1
"IfStatement ExpressionStatement SequenceExpression AssignmentExpression
",1
"SequenceExpression AssignmentExpression MemberExpression LogicalExpression
",1
"MemberExpression LogicalExpression MemberExpression Identifier
",1
"BlockStatement IfStatement ExpressionStatement SequenceExpression
",1
"AssignmentExpression MemberExpression LogicalExpression MemberExpression
",1
"IfStatement ExpressionStatement SequenceExpression CallExpression
",1
"ExpressionStatement SequenceExpression CallExpression Literal
",1
"SequenceExpression AssignmentExpression CallExpression CallExpression
",1
"SequenceExpression CallExpression MemberExpression MemberExpression
",1
"FunctionExpression BlockStatement ExpressionStatement ConditionalExpression
",1
"ExpressionStatement ConditionalExpression LogicalExpression Identifier
",1
"ExpressionStatement ConditionalExpression LogicalExpression CallExpression
",1
"ConditionalExpression CallExpression BinaryExpression BinaryExpression
",1
"ExpressionStatement ConditionalExpression CallExpression BinaryExpression
",1
"BinaryExpression BinaryExpression ConditionalExpression BinaryExpression
",1
"CallExpression BinaryExpression BinaryExpression ConditionalExpression
",1
"BinaryExpression ConditionalExpression BinaryExpression Literal
",1
"BinaryExpression BinaryExpression ConditionalExpression Literal
",1
"IfStatement IfStatement LogicalExpression UnaryExpression
",1
"BlockStatement IfStatement IfStatement ForInStatement
",1
"IfStatement ForInStatement Identifier Program
",1
"IfStatement IfStatement ForInStatement Identifier
",1
"IfStatement ForInStatement ExpressionStatement CallExpression
",1
"IfStatement IfStatement ForInStatement ExpressionStatement
",1
"ForInStatement ExpressionStatement CallExpression BinaryExpression
",1
"ForInStatement ExpressionStatement CallExpression Identifier
",1
"BlockStatement IfStatement IfStatement ExpressionStatement
",1
"BlockStatement ExpressionStatement LogicalExpression SequenceExpression
",1
"LogicalExpression SequenceExpression AssignmentExpression Identifier
",1
"ExpressionStatement LogicalExpression SequenceExpression AssignmentExpression
",1
"SequenceExpression AssignmentExpression Literal Program
",1
"ReturnStatement FunctionExpression BlockStatement IfStatement
",1
"FunctionExpression BlockStatement IfStatement ForStatement
",1
"IfStatement ForStatement BinaryExpression Identifier
",1
"IfStatement ForStatement UpdateExpression Identifier
",1
"IfStatement ForStatement ExpressionStatement SequenceExpression
",1
"BlockStatement IfStatement ForStatement ExpressionStatement
",1
"ForStatement ExpressionStatement SequenceExpression AssignmentExpression
",1
"SequenceExpression AssignmentExpression AssignmentExpression MemberExpression
",1
"SequenceExpression AssignmentExpression AssignmentExpression LogicalExpression
",1
"ExpressionStatement SequenceExpression AssignmentExpression AssignmentExpression
",1
"ForStatement ExpressionStatement SequenceExpression CallExpression
",1
"CallExpression MemberExpression ConditionalExpression Identifier
",1
"CallExpression MemberExpression ConditionalExpression Literal
",1
"ExpressionStatement SequenceExpression CallExpression Identifier
",1
"SequenceExpression AssignmentExpression LogicalExpression MemberExpression
",1
"SequenceExpression AssignmentExpression LogicalExpression ObjectExpression
",1
"LogicalExpression ObjectExpression Program ExpressionStatement
",1
"SequenceExpression AssignmentExpression UnaryExpression Literal
",1
"BlockStatement ForStatement LogicalExpression BinaryExpression
",1
"FunctionDeclaration BlockStatement ForStatement LogicalExpression
",1
"ForStatement LogicalExpression BinaryExpression Identifier
",1
"BlockStatement ForStatement LogicalExpression LogicalExpression
",1
"ForStatement LogicalExpression LogicalExpression UnaryExpression
",1
"SequenceExpression LogicalExpression ConditionalExpression LogicalExpression
",1
"ConditionalExpression LogicalExpression UnaryExpression Identifier
",1
"ExpressionStatement SequenceExpression LogicalExpression ConditionalExpression
",1
"LogicalExpression ConditionalExpression LogicalExpression MemberExpression
",1
"LogicalExpression ConditionalExpression AssignmentExpression Identifier
",1
