ngrams,class
"MemberExpression CallExpression MemberExpression MemberExpression
",1
"IfStatement IfStatement BlockStatement VariableDeclaration
",1
"VariableDeclaration VariableDeclarator ConditionalExpression Identifier
",1
"IfStatement BlockStatement ReturnStatement Identifier
",1
"BlockStatement ReturnStatement MemberExpression MemberExpression
",1
"ReturnStatement MemberExpression MemberExpression Identifier
",1
"ForStatement BinaryExpression MemberExpression MemberExpression
",1
"CallExpression FunctionExpression BlockStatement ExpressionStatement
",1
"AssignmentExpression FunctionExpression Identifier Program
",1
"CallExpression Literal Program ExpressionStatement
",1
"AssignmentExpression FunctionExpression BlockStatement ExpressionStatement
",1
"AssignmentExpression BinaryExpression Literal Program
",1
"ExpressionStatement CallExpression MemberExpression FunctionExpression
",1
"MemberExpression FunctionExpression BlockStatement ExpressionStatement
",1
"VariableDeclarator MemberExpression Identifier Program
",1
"AssignmentExpression Identifier Program ExpressionStatement
",1
"CallExpression MemberExpression FunctionExpression BlockStatement
",1
"FunctionExpression BlockStatement ExpressionStatement SequenceExpression
",1
"BlockStatement ExpressionStatement SequenceExpression CallExpression
",1
"FunctionExpression BlockStatement ExpressionStatement AssignmentExpression
",1
"CallExpression FunctionExpression Identifier Program
",1
"FunctionDeclaration BlockStatement VariableDeclaration VariableDeclarator
",1
"ObjectExpression Property Literal Program
",1
"FunctionDeclaration BlockStatement ExpressionStatement AssignmentExpression
",1
"ForStatement BlockStatement ExpressionStatement CallExpression
",1
"AssignmentExpression MemberExpression MemberExpression MemberExpression
",1
"ForStatement BlockStatement IfStatement BinaryExpression
",1
"BinaryExpression BinaryExpression BinaryExpression Identifier
",1
"BlockStatement ExpressionStatement CallExpression FunctionExpression
",1
"BlockStatement IfStatement ExpressionStatement CallExpression
",1
"FunctionExpression BlockStatement IfStatement BinaryExpression
",1
"VariableDeclarator CallExpression Literal Program
",1
"VariableDeclaration VariableDeclarator BinaryExpression BinaryExpression
",1
"BlockStatement VariableDeclaration VariableDeclarator BinaryExpression
",1
"BinaryExpression MemberExpression CallExpression MemberExpression
",1
"BinaryExpression BinaryExpression MemberExpression Identifier
",1
"FunctionExpression BlockStatement IfStatement LogicalExpression
",1
"IfStatement LogicalExpression BinaryExpression MemberExpression
",1
"LogicalExpression BinaryExpression MemberExpression Identifier
",1
"CallExpression BinaryExpression BinaryExpression BinaryExpression
",1
"CallExpression BinaryExpression BinaryExpression Identifier
",1
"BlockStatement IfStatement BlockStatement IfStatement
",1
"IfStatement BlockStatement IfStatement BinaryExpression
",1
"IfStatement BlockStatement IfStatement ExpressionStatement
",1
"AssignmentExpression CallExpression MemberExpression MemberExpression
",1
"CallExpression BinaryExpression Identifier Program
",1
"IfStatement LogicalExpression MemberExpression Identifier
",1
"IfStatement ExpressionStatement CallExpression Identifier
",1
"BlockStatement ReturnStatement Literal Program
",1
"BlockStatement FunctionDeclaration Identifier Program
",1
"BlockStatement FunctionDeclaration BlockStatement VariableDeclaration
",1
"MemberExpression MemberExpression Literal Program
",1
"BlockStatement VariableDeclaration VariableDeclarator NewExpression
",1
"VariableDeclarator NewExpression Identifier Program
",1
"BlockStatement IfStatement BinaryExpression UnaryExpression
",1
"VariableDeclaration VariableDeclarator NewExpression Identifier
",1
"NewExpression Identifier Program FunctionDeclaration
",1
"IfStatement BinaryExpression Identifier Program
",1
"BlockStatement ReturnStatement CallExpression Literal
",1
"BlockStatement IfStatement MemberExpression Identifier
",1
"NewExpression BinaryExpression Literal Program
",1
"IfStatement BlockStatement ReturnStatement Program
",1
"BinaryExpression UnaryExpression Identifier Program
",1
"IfStatement ExpressionStatement AssignmentExpression Identifier
",1
"BlockStatement IfStatement ExpressionStatement AssignmentExpression
",1
"BinaryExpression BinaryExpression MemberExpression MemberExpression
",1
"AssignmentExpression CallExpression Identifier Program
",1
"BlockStatement IfStatement Identifier Program
",1
"ExpressionStatement CallExpression MemberExpression ThisExpression
",1
"Program ExpressionStatement AssignmentExpression FunctionExpression
",1
"BlockStatement ForStatement BlockStatement VariableDeclaration
",1
"ForStatement BlockStatement VariableDeclaration VariableDeclarator
",1
"Program ExpressionStatement CallExpression FunctionExpression
",1
"ExpressionStatement AssignmentExpression ObjectExpression Property
",1
"BlockStatement ExpressionStatement AssignmentExpression ObjectExpression
",1
"ExpressionStatement AssignmentExpression CallExpression CallExpression
",1
"Property Literal Program ExpressionStatement
",1
"VariableDeclaration VariableDeclarator ConditionalExpression BinaryExpression
",1
"ConditionalExpression Identifier Program ExpressionStatement
",1
"ReturnStatement CallExpression Literal Program
",1
"MemberExpression BinaryExpression Literal Program
",1
"BinaryExpression MemberExpression Literal Program
",1
"LogicalExpression CallExpression Identifier Program
",1
"ConditionalExpression BinaryExpression Identifier Program
",1
"UnaryExpression MemberExpression MemberExpression Identifier
",1
"Literal Program ExpressionStatement AssignmentExpression
",1
"LogicalExpression MemberExpression MemberExpression Identifier
",1
"FunctionExpression BlockStatement IfStatement MemberExpression
",1
"FunctionExpression BlockStatement IfStatement IfStatement
",1
"FunctionExpression BlockStatement IfStatement CallExpression
",1
"ExpressionStatement AssignmentExpression UnaryExpression Literal
",1
"BinaryExpression CallExpression MemberExpression CallExpression
",1
"IfStatement BlockStatement TryStatement BlockStatement
",1
"ConditionalExpression BinaryExpression Literal Program
",1
"IfStatement BlockStatement TryStatement CatchClause
",1
"TryStatement CatchClause Identifier Program
",1
"BlockStatement ReturnStatement UnaryExpression Literal
",1
"BlockStatement ExpressionStatement LogicalExpression MemberExpression
",1
"FunctionDeclaration BlockStatement ExpressionStatement LogicalExpression
",1
"ExpressionStatement LogicalExpression MemberExpression Identifier
",1
"BlockStatement WhileStatement BlockStatement IfStatement
",1
"VariableDeclaration VariableDeclarator ArrayExpression Program
",1
"FunctionDeclaration BlockStatement ForStatement BinaryExpression
",1
"FunctionDeclaration BlockStatement ForStatement UpdateExpression
",1
"ForStatement AssignmentExpression Identifier Program
",1
"ForStatement AssignmentExpression Literal Program
",1
"CallExpression BinaryExpression BinaryExpression Literal
",1
"VariableDeclarator ConditionalExpression BinaryExpression Literal
",1
"VariableDeclarator ConditionalExpression MemberExpression Identifier
",1
"BlockStatement IfStatement IfStatement LogicalExpression
",1
"VariableDeclarator ObjectExpression Program ExpressionStatement
",1
"IfStatement CallExpression MemberExpression MemberExpression
",1
"ObjectExpression Property MemberExpression Identifier
",1
"IfStatement BlockStatement ForStatement UpdateExpression
",1
"AssignmentExpression ObjectExpression Property Literal
",1
"ReturnStatement CallExpression MemberExpression ThisExpression
",1
"BlockStatement ExpressionStatement AssignmentExpression UnaryExpression
",1
"BlockStatement IfStatement IfStatement BinaryExpression
",1
"BlockStatement VariableDeclaration VariableDeclarator ArrayExpression
",1
"AssignmentExpression NewExpression Identifier Program
",1
"Property MemberExpression Identifier Program
",1
"VariableDeclarator ArrayExpression Program ExpressionStatement
",1
"WhileStatement BlockStatement IfStatement BinaryExpression
",1
"FunctionExpression BlockStatement WhileStatement BlockStatement
",1
"TryStatement BlockStatement VariableDeclaration VariableDeclarator
",1
"WhileStatement BlockStatement IfStatement BlockStatement
",1
"ExpressionStatement CallExpression ObjectExpression Property
",1
"ExpressionStatement CallExpression BinaryExpression BinaryExpression
",1
"IfStatement IfStatement BinaryExpression Literal
",1
"BlockStatement IfStatement BinaryExpression CallExpression
",1
"ExpressionStatement AssignmentExpression NewExpression Identifier
",1
"BlockStatement ExpressionStatement AssignmentExpression NewExpression
",1
"IfStatement LogicalExpression BinaryExpression BinaryExpression
",1
"BlockStatement TryStatement BlockStatement VariableDeclaration
",1
"ExpressionStatement AssignmentExpression CallExpression FunctionExpression
",1
"IfStatement IfStatement BinaryExpression UnaryExpression
",1
"FunctionExpression BlockStatement VariableDeclaration VariableDeclarator
",1
"FunctionExpression BlockStatement ReturnStatement MemberExpression
",1
"ReturnStatement MemberExpression Identifier Program
",1
"AssignmentExpression UnaryExpression Literal Program
",1
"ConditionalExpression MemberExpression Identifier Program
",1
"AssignmentExpression CallExpression Literal Program
",1
"BlockStatement TryStatement CatchClause BlockStatement
",1
"AssignmentExpression FunctionExpression BlockStatement IfStatement
",1
"BinaryExpression BinaryExpression BinaryExpression BinaryExpression
",1
"BinaryExpression CallExpression MemberExpression Identifier
",1
"CallExpression BinaryExpression Literal Program
",1
"CallExpression MemberExpression CallExpression Identifier
",1
"BinaryExpression BinaryExpression BinaryExpression Literal
",1
"MemberExpression ThisExpression Program ExpressionStatement
",1
"CallExpression CallExpression Identifier Program
",1
"ExpressionStatement SequenceExpression CallExpression FunctionExpression
",1
"FunctionExpression BlockStatement ReturnStatement SequenceExpression
",1
"MemberExpression Identifier Program ExpressionStatement
",1
"AssignmentExpression FunctionExpression BlockStatement ReturnStatement
",1
"ObjectExpression Property Identifier Program
",1
"MemberExpression CallExpression Identifier Program
",1
"CallExpression FunctionExpression BlockStatement VariableDeclaration
",1
"VariableDeclarator Identifier Program ExpressionStatement
",1
"BlockStatement TryStatement BlockStatement ExpressionStatement
",1
"FunctionExpression Identifier Program ExpressionStatement
",1
"BlockStatement ReturnStatement CallExpression MemberExpression
",1
"BinaryExpression BinaryExpression Literal Program
",1
"LogicalExpression MemberExpression Identifier Program
",1
"SequenceExpression CallExpression FunctionExpression BlockStatement
",1
"SequenceExpression CallExpression Identifier Program
",1
"Program ExpressionStatement CallExpression MemberExpression
",1
"Literal Program ExpressionStatement CallExpression
",1
"FunctionExpression BlockStatement ReturnStatement CallExpression
",1
"ReturnStatement CallExpression MemberExpression Identifier
",1
"AssignmentExpression FunctionExpression BlockStatement VariableDeclaration
",1
"CallExpression Identifier Program ExpressionStatement
",1
"BinaryExpression Literal Program ExpressionStatement
",1
"ReturnStatement MemberExpression ThisExpression Program
",1
"VariableDeclaration VariableDeclarator ObjectExpression Property
",1
"VariableDeclaration VariableDeclarator ThisExpression Program
",1
"ThisExpression Program FunctionDeclaration BlockStatement
",1
"VariableDeclarator CallExpression Identifier Program
",1
"VariableDeclaration VariableDeclarator CallExpression Identifier
",1
"VariableDeclarator Identifier Program FunctionDeclaration
",1
"FunctionExpression BlockStatement ForStatement VariableDeclaration
",1
"ForStatement VariableDeclaration VariableDeclarator Identifier
",1
"AssignmentExpression FunctionExpression BlockStatement ForStatement
",1
"BlockStatement ForStatement VariableDeclaration VariableDeclarator
",1
"FunctionExpression BlockStatement ForStatement BinaryExpression
",1
"FunctionExpression BlockStatement ForStatement UpdateExpression
",1
"FunctionExpression BlockStatement ForStatement BlockStatement
",1
"ExpressionStatement AssignmentExpression BinaryExpression Literal
",1
"ExpressionStatement AssignmentExpression BinaryExpression BinaryExpression
",1
"FunctionExpression BlockStatement IfStatement UnaryExpression
",1
"UnaryExpression CallExpression Identifier Program
",1
"MemberExpression CallExpression Literal Program
",1
"VariableDeclarator BinaryExpression BinaryExpression Literal
",1
"AssignmentExpression MemberExpression MemberExpression CallExpression
",1
"LogicalExpression BinaryExpression MemberExpression MemberExpression
",1
"IfStatement LogicalExpression BinaryExpression Literal
",1
"VariableDeclarator CallExpression BinaryExpression Literal
",1
"ExpressionStatement CallExpression CallExpression MemberExpression
",1
"ExpressionStatement CallExpression BinaryExpression Identifier
",1
"IfStatement BlockStatement IfStatement Identifier
",1
"IfStatement BlockStatement IfStatement BlockStatement
",1
"ExpressionStatement AssignmentExpression CallExpression Literal
",1
"IfStatement BlockStatement IfStatement LogicalExpression
",1
"BlockStatement IfStatement LogicalExpression MemberExpression
",1
"VariableDeclarator BinaryExpression BinaryExpression CallExpression
",1
"BinaryExpression CallExpression MemberExpression MemberExpression
",1
"BinaryExpression BinaryExpression CallExpression MemberExpression
",1
"BinaryExpression BinaryExpression CallExpression Literal
",1
"CallExpression MemberExpression MemberExpression MemberExpression
",1
"CallExpression CallExpression MemberExpression MemberExpression
",1
"CallExpression CallExpression Literal Program
",1
"VariableDeclaration VariableDeclarator BinaryExpression Identifier
",1
"BlockStatement ExpressionStatement CallExpression ObjectExpression
",1
"CallExpression BinaryExpression MemberExpression Identifier
",1
"VariableDeclarator MemberExpression MemberExpression ThisExpression
",1
"IfStatement BlockStatement ForStatement VariableDeclaration
",1
"ForStatement VariableDeclaration VariableDeclarator Literal
",1
"BlockStatement VariableDeclaration VariableDeclarator LogicalExpression
",1
"VariableDeclarator LogicalExpression MemberExpression Identifier
",1
"UnaryExpression CallExpression Literal Program
",1
"FunctionExpression BlockStatement IfStatement ExpressionStatement
",1
"IfStatement BlockStatement SwitchStatement SwitchCase
",1
"SwitchStatement SwitchCase Literal Program
",1
"BlockStatement IfStatement BlockStatement SwitchStatement
",1
"BlockStatement SwitchStatement SwitchCase IfStatement
",1
"SwitchStatement SwitchCase BreakStatement Program
",1
"ReturnStatement Program FunctionDeclaration BlockStatement
",1
"FunctionExpression BlockStatement ReturnStatement Literal
",1
"ReturnStatement Literal Program FunctionDeclaration
",1
"FunctionExpression BlockStatement FunctionDeclaration Identifier
",1
"FunctionExpression BlockStatement FunctionDeclaration BlockStatement
",1
"BlockStatement IfStatement LogicalExpression Identifier
",1
"FunctionDeclaration BlockStatement IfStatement LogicalExpression
",1
"MemberExpression Literal Program FunctionDeclaration
",1
"VariableDeclaration VariableDeclarator BinaryExpression MemberExpression
",1
"VariableDeclaration VariableDeclarator NewExpression Literal
",1
"NewExpression Literal Program FunctionDeclaration
",1
"BinaryExpression UnaryExpression Literal Program
",1
"VariableDeclarator NewExpression Literal Program
",1
"IfStatement BlockStatement ReturnStatement CallExpression
",1
"BlockStatement ReturnStatement AssignmentExpression MemberExpression
",1
"ReturnStatement AssignmentExpression MemberExpression Identifier
",1
"BlockStatement IfStatement CallExpression Identifier
",1
"NewExpression BinaryExpression BinaryExpression Literal
",1
"FunctionExpression BlockStatement ForInStatement Identifier
",1
"AssignmentExpression FunctionExpression BlockStatement ForInStatement
",1
"BlockStatement ForInStatement Identifier Program
",1
"FunctionExpression BlockStatement ForInStatement BlockStatement
",1
"BlockStatement ForInStatement BlockStatement IfStatement
",1
"VariableDeclaration VariableDeclarator BinaryExpression Literal
",1
"AssignmentExpression BinaryExpression MemberExpression Identifier
",1
"VariableDeclarator BinaryExpression Literal Program
",1
"FunctionDeclaration BlockStatement IfStatement ExpressionStatement
",1
"IfStatement BlockStatement IfStatement CallExpression
",1
"IfStatement CallExpression Identifier Program
",1
"IfStatement CallExpression Literal Program
",1
"ExpressionStatement CallExpression FunctionExpression Identifier
",1
"CallExpression MemberExpression NewExpression Identifier
",1
"ExpressionStatement AssignmentExpression MemberExpression ThisExpression
",1
"IfStatement ExpressionStatement AssignmentExpression CallExpression
",1
"MemberExpression CallExpression BinaryExpression Literal
",1
"BinaryExpression BinaryExpression BinaryExpression CallExpression
",1
"BinaryExpression BinaryExpression CallExpression Identifier
",1
"BlockStatement IfStatement UnaryExpression Identifier
",1
"AssignmentExpression CallExpression BinaryExpression MemberExpression
",1
"ExpressionStatement AssignmentExpression CallExpression BinaryExpression
",1
"AssignmentExpression CallExpression BinaryExpression Literal
",1
"AssignmentExpression CallExpression BinaryExpression BinaryExpression
",1
"IfStatement BinaryExpression UnaryExpression Identifier
",1
"ReturnStatement Identifier Program ExpressionStatement
",1
"UpdateExpression Identifier Program ExpressionStatement
",1
"BlockStatement IfStatement BlockStatement ForInStatement
",1
"BlockStatement ForInStatement VariableDeclaration VariableDeclarator
",1
"ForInStatement Identifier Program ExpressionStatement
",1
"IfStatement BlockStatement ForInStatement BlockStatement
",1
"ForInStatement BlockStatement IfStatement BlockStatement
",1
"LogicalExpression LogicalExpression MemberExpression Identifier
",1
"IfStatement BinaryExpression MemberExpression ThisExpression
",1
"ExpressionStatement AssignmentExpression LogicalExpression MemberExpression
",1
"BlockStatement ExpressionStatement AssignmentExpression LogicalExpression
",1
"AssignmentExpression LogicalExpression MemberExpression Identifier
",1
"ExpressionStatement AssignmentExpression LogicalExpression Literal
",1
"ExpressionStatement AssignmentExpression ConditionalExpression BinaryExpression
",1
"UnaryExpression Literal Program ExpressionStatement
",1
"ConditionalExpression BinaryExpression MemberExpression Identifier
",1
"ExpressionStatement AssignmentExpression ConditionalExpression Literal
",1
"ConditionalExpression Literal Program ExpressionStatement
",1
"ExpressionStatement AssignmentExpression ConditionalExpression MemberExpression
",1
"BlockStatement ExpressionStatement AssignmentExpression ConditionalExpression
",1
"AssignmentExpression ConditionalExpression MemberExpression Identifier
",1
"AssignmentExpression LogicalExpression Literal Program
",1
"AssignmentExpression ConditionalExpression BinaryExpression UnaryExpression
",1
"BlockStatement ExpressionStatement AssignmentExpression AssignmentExpression
",1
"ExpressionStatement AssignmentExpression BinaryExpression MemberExpression
",1
"BlockStatement ExpressionStatement CallExpression LogicalExpression
",1
"AssignmentExpression ObjectExpression Property FunctionExpression
",1
"Property FunctionExpression BlockStatement ExpressionStatement
",1
"BinaryExpression MemberExpression ThisExpression Program
",1
"ExpressionStatement CallExpression MemberExpression CallExpression
",1
"AssignmentExpression MemberExpression MemberExpression ThisExpression
",1
"MemberExpression MemberExpression ThisExpression Program
",1
"Property FunctionExpression BlockStatement ReturnStatement
",1
"ObjectExpression Property FunctionExpression Identifier
",1
"CallExpression MemberExpression MemberExpression ThisExpression
",1
"ExpressionStatement CallExpression CallExpression Identifier
",1
"AssignmentExpression CallExpression CallExpression MemberExpression
",1
"MemberExpression MemberExpression MemberExpression ThisExpression
",1
"AssignmentExpression ObjectExpression Property Identifier
",1
"Property Identifier Program ExpressionStatement
",1
"Property FunctionExpression BlockStatement VariableDeclaration
",1
"BlockStatement VariableDeclaration VariableDeclarator ObjectExpression
",1
"VariableDeclarator ObjectExpression Property Identifier
",1
"VariableDeclarator ObjectExpression Property Literal
",1
"Property FunctionExpression BlockStatement ForInStatement
",1
"Property FunctionExpression BlockStatement IfStatement
",1
"BlockStatement IfStatement UnaryExpression MemberExpression
",1
"UnaryExpression MemberExpression ThisExpression Program
",1
"IfStatement UnaryExpression MemberExpression Identifier
",1
"BlockStatement IfStatement ReturnStatement Literal
",1
"ReturnStatement Literal Program ExpressionStatement
",1
"FunctionExpression BlockStatement ExpressionStatement LogicalExpression
",1
"ReturnStatement ConditionalExpression MemberExpression Identifier
",1
"CallExpression MemberExpression Literal Program
",1
"MemberExpression Literal Program ExpressionStatement
",1
"ExpressionStatement AssignmentExpression MemberExpression Literal
",1
"Property FunctionExpression Identifier Program
",1
"VariableDeclaration VariableDeclarator ConditionalExpression Literal
",1
"VariableDeclarator ConditionalExpression Literal Program
",1
"ArrayExpression MemberExpression Identifier Program
",1
"BlockStatement ReturnStatement BinaryExpression CallExpression
",1
"BlockStatement ReturnStatement BinaryExpression Literal
",1
"ExpressionStatement AssignmentExpression LogicalExpression Identifier
",1
"FunctionExpression BlockStatement ReturnStatement Identifier
",1
"BlockStatement ReturnStatement BinaryExpression BinaryExpression
",1
"ReturnStatement BinaryExpression BinaryExpression MemberExpression
",1
"BlockStatement ReturnStatement MemberExpression ThisExpression
",1
"LogicalExpression BinaryExpression MemberExpression ThisExpression
",1
"BlockStatement IfStatement LogicalExpression CallExpression
",1
"IfStatement UnaryExpression Identifier Program
",1
"ExpressionStatement AssignmentExpression BinaryExpression Identifier
",1
"AssignmentExpression ConditionalExpression Identifier Program
",1
"BlockStatement IfStatement LogicalExpression LogicalExpression
",1
"LogicalExpression LogicalExpression UnaryExpression Identifier
",1
"UnaryExpression Identifier Program ExpressionStatement
",1
"ConditionalExpression CallExpression Identifier Program
",1
"BlockStatement ReturnStatement NewExpression Identifier
",1
"NewExpression Identifier Program ExpressionStatement
",1
"IfStatement LogicalExpression UnaryExpression Identifier
",1
"BlockStatement IfStatement LogicalExpression UnaryExpression
",1
"BlockStatement IfStatement BlockStatement ThrowStatement
",1
"BlockStatement ThrowStatement NewExpression Identifier
",1
"BlockStatement ThrowStatement NewExpression Literal
",1
"ReturnStatement CallExpression MemberExpression MemberExpression
",1
"BlockStatement IfStatement MemberExpression ThisExpression
",1
"ExpressionStatement AssignmentExpression BinaryExpression CallExpression
",1
"AssignmentExpression LogicalExpression MemberExpression MemberExpression
",1
"ExpressionStatement AssignmentExpression LogicalExpression CallExpression
",1
"AssignmentExpression LogicalExpression CallExpression MemberExpression
",1
"LogicalExpression CallExpression MemberExpression Identifier
",1
"AssignmentExpression FunctionExpression BlockStatement SwitchStatement
",1
"FunctionExpression BlockStatement SwitchStatement SwitchCase
",1
"LogicalExpression MemberExpression ThisExpression Program
",1
"IfStatement LogicalExpression LogicalExpression BinaryExpression
",1
"SwitchStatement SwitchCase IfStatement BlockStatement
",1
"IfStatement BlockStatement ReturnStatement Literal
",1
"BlockStatement SwitchStatement SwitchCase BreakStatement
",1
"SwitchCase BreakStatement Program ExpressionStatement
",1
"BlockStatement SwitchStatement SwitchCase ReturnStatement
",1
